Afghanistan	Country
Albania	Country
Algeria	Country
Andorra	Country
Angola	Country
Antigua and Barbuda	Country
Argentina	Country
Armenia	Country
Australia	Country
Austria	Country
Austrian Empire	Country
Azerbaijan	Country
Baden	Country
Bahamas	Country
Bahrain	Country
Bangladesh	Country
Barbados	Country
Bavaria	Country
Belarus	Country
Belgium	Country
Belize	Country
Benin (Dahomey)	Country
Bolivia	Country
Bosnia and Herzegovina	Country
Botswana	Country
Brazil	Country
Brunei	Country
Brunswick and Lüneburg	Country
Bulgaria	Country
Burkina Faso (Upper Volta)	Country
Burma	Country
Burundi	Country
Cabo Verde	Country
Cambodia	Country
Cameroon	Country
Canada	Country
Cayman Islands	Country
Central African Republic	Country
Central American Federation	Country
Chad	Country
Chile	Country
China	Country
Colombia	Country
Comoros	Country
Congo Free State	Country
Costa Rica	Country
Cote d’Ivoire (Ivory Coast)	Country
Croatia	Country
Cuba	Country
Cyprus	Country
Czechia	Country
Czechoslovakia	Country
Democratic Republic of the Congo	Country
Denmark	Country
Djibouti	Country
Dominica	Country
Dominican Republic	Country
Duchy of Parma	Country
East Germany (German Democratic Republic)	Country
Ecuador	Country
Egypt	Country
El Salvador	Country
Equatorial Guinea	Country
Eritrea	Country
Estonia	Country
Eswatini	Country
Ethiopia	Country
Federal Government of Germany (1848-49)	Country
Fiji	Country
Finland	Country
France	Country
Gabon	Country
Gambia	Country
Georgia	Country
Germany	Country
Ghana	Country
Grand Duchy of Tuscany	Country
Greece	Country
Grenada	Country
Guatemala	Country
Guinea	Country
Guinea-Bissau	Country
Guyana	Country
Haiti	Country
Hanover	Country
Hanseatic Republics	Country
Hawaii	Country
Hesse	Country
Holy See	Country
Honduras	Country
Hungary	Country
Iceland	Country
India	Country
Indonesia	Country
Iran	Country
Iraq	Country
Ireland	Country
Israel	Country
Italy	Country
Jamaica	Country
Japan	Country
Jordan	Country
Kazakhstan	Country
Kenya	Country
Kingdom of Serbia/Yugoslavia	Country
Kiribati	Country
Korea	Country
Kosovo	Country
Kuwait	Country
Kyrgyzstan	Country
Laos	Country
Latvia	Country
Lebanon	Country
Lesotho	Country
Lew Chew (Loochoo)	Country
Liberia	Country
Libya	Country
Liechtenstein	Country
Lithuania	Country
Luxembourg	Country
Afghanistan	Country
Albania	Country
Algeria	Country
Andorra	Country
Angola	Country
Antigua and Barbuda	Country
Argentina	Country
Armenia	Country
Australia	Country
Austria	Country
Austrian Empire	Country
Azerbaijan	Country
Baden	Country
Bahamas	Country
Bahrain	Country
Bangladesh	Country
